IPs,againsts,buildLevels,commentIds,contents,createTimes,favCounts,isDels,is_anonymous,shareCounts,siteNames,sources,user_IDs,user_locations,votes
116.7.*.*,0,1,330842977,可怕,2018-11-18 10:57:48,0,False,False,0,网易,ph,55646783,广东省深圳市,0
122.158.*.*,0,1,330831782,当官的146个情妇，屌丝一个都没有，3000万差距到底是真的还是假的？故意宣传的？当然强奸是肯定不应该。我只是说为啥强奸的这么多[疲惫],2018-11-18 10:40:54,0,False,True,0,网易,ph,0,黑龙江省大庆,6
122.158.*.*,0,2,330841907,[疲惫],2018-11-18 10:57:00,0,False,True,0,网易,ph,0,黑龙江省大庆,0
113.104.*.*,0,1,330842790,千万不要一个人去爬山[不屑][不屑],2018-11-18 10:56:40,0,False,False,0,网易,ph,111317255,广东省深圳市,0
117.136.*.*,0,1,330841675,我去,2018-11-18 10:55:30,0,False,True,0,网易,ph,0,北京市海淀区,0
116.225.*.*,0,1,330843119,畜生，应该用重典，严打！否则犯罪成本太低,2018-11-18 10:55:16,0,False,False,0,网易,ph,79557692,上海市,0
223.88.*.*,0,8,330843071,大金链子最早就是这地方人的标配。,2018-11-18 10:54:58,0,False,True,0,网易,ph,0,河南省洛阳,3
218.83.*.*,0,3,330841511,以前也经常爬北高峰啊那些西湖群山，但是居然有这种人渣会对一个单女子下手，简直是……[大哭]，看来杭州治安要严打了,2018-11-18 10:54:30,0,False,False,0,网易,ph,485803,上海市青浦区,1
218.81.*.*,0,1,330842332,呵呵,2018-11-18 10:54:01,0,False,False,0,网易,ph,55515016,上海市,45
60.178.*.*,0,10,330839924,谢谢,2018-11-18 10:53:56,0,False,True,0,网易,ph,0,浙江省宁波,1
166.48.*.*,0,9,330839058,嗯，多保重，祝顺顺利利做妈妈,2018-11-18 10:49:00,0,False,True,0,网易,ph,0,加拿大安大略省,0
101.206.*.*,0,1,330839899,中国是全世界最安全的国家,2018-11-18 10:53:50,0,False,False,0,网易,ph,259499299,四川省成都市,1
183.14.*.*,0,3,330842261,我举报你！随时可能犯罪的流动人员[大哭],2018-11-18 10:53:36,0,False,False,0,网易,ph,97021620,广东省深圳市,0
183.209.*.*,0,1,330840252,网络媒体净化的如何? 不健康的不文明的是不是依然在宣传?,2018-11-18 10:51:46,0,False,True,0,网易,ph,0,江苏省镇江,0
27.18.*.*,0,1,330837833,盛世之下，各自珍重！,2018-11-18 10:51:01,0,False,False,0,网易,wb,6237261,湖北省武汉,1
121.35.*.*,0,4,330805071,三楼你智商被狼吃了？不是浙江人干的，这种事就能少吗！,2018-11-18 09:55:09,0,False,False,0,网易,ph,42638041,广东省深圳市,0
116.115.*.*,0,5,330839218,知道不是浙江人干的，才能针对性的对外地无业人员这种预期高犯罪率的人群进行监控和预防，这样不能降低犯罪率？你脑子不会拐弯是吧？非得说得明明白白你才懂？[喷水],2018-11-18 10:49:50,0,False,True,0,网易,ph,0,内蒙古自治区通辽,0
121.35.*.*,0,2,330789475,狭义之心，终不成大气。,2018-11-18 09:33:00,0,False,False,0,网易,ph,42638041,广东省深圳市,0
182.41.*.*,0,3,330836860,你一个大小伙子怕啥[窃笑],2018-11-18 10:49:30,0,False,False,0,网易,ph,69466030,山东省潍坊,0
175.188.*.*,0,1,330839070,具体咋杀的咋不说？单独女性出门怎么防？,2018-11-18 10:49:06,0,False,True,0,网易,ph,0,河南省郑州,0
182.97.*.*,0,1,330837540,哎！又一个鲜活的生命,2018-11-18 10:49:04,0,False,False,0,网易,ph,1356439,江西省南昌市,0
